a,b,p
currency,main,1.0
currency,productcat,1.0
main,productcat,1.0
currency,recommendation,0.8849658314350797
main,recommendation,0.8849658314350797
productcat,recommendation,0.8849658314350797
ad,productcat,0.3325740318906606
ad,main,0.3325740318906606
ad,currency,0.3325740318906606
cart,checkout,0.2722095671981777
checkout,shipping,0.2722095671981777
email,payment,0.23234624145785876
cart,email,0.22892938496583143
cart,payment,0.22892938496583143
email,shipping,0.22779043280182232
payment,shipping,0.22779043280182232
ad,recommendation,0.2255125284738041
checkout,payment,0.22323462414578588
checkout,email,0.22323462414578588
cart,recommendation,0.22209567198177677
recommendation,shipping,0.22095671981776766
cart,shipping,0.21753986332574032
ad,checkout,0.2152619589977221
ad,email,0.21184510250569477
ad,payment,0.21184510250569477
ad,cart,0.2061503416856492
ad,shipping,0.20501138952164008
cart,main,0.18906605922551253
cart,currency,0.18906605922551253
cart,productcat,0.18906605922551253
productcat,shipping,0.18792710706150342
main,shipping,0.18792710706150342
currency,shipping,0.18792710706150342
payment,recommendation,0.1867881548974943
email,recommendation,0.1867881548974943
checkout,recommendation,0.1856492027334852
currency,email,0.15375854214123008
main,payment,0.15375854214123008
email,productcat,0.15375854214123008
email,main,0.15375854214123008
currency,payment,0.15375854214123008
payment,productcat,0.15375854214123008
checkout,productcat,0.15261958997722094
checkout,currency,0.15261958997722094
checkout,main,0.15261958997722094
